,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6669741868972778,0.9140625,0.309184730052948,1.0
1,99,0.6630668044090271,0.6875,0.30775168538093567,1.0
2,149,0.6053896546363831,0.8828125,0.8238117694854736,0.0
3,199,0.631549060344696,0.7734375,0.20820428431034088,1.0
4,249,0.41933393478393555,0.859375,0.1854943037033081,0.9765625
5,299,0.46616315841674805,0.7109375,0.367559015750885,0.90625
6,349,0.18769532442092896,0.984375,0.08486401289701462,0.9765625
7,399,0.336523175239563,1.0,1.2526355981826782,0.0
8,449,0.5516785979270935,1.0,0.8579797744750977,0.0
9,499,0.6545324921607971,1.0,0.7333129644393921,0.0
10,549,0.6856768131256104,1.0,0.7006738185882568,0.0
11,599,0.6921163201332092,1.0,0.694179117679596,0.0
12,649,0.6927008032798767,1.0,0.6935937404632568,0.0
13,699,0.6928956508636475,1.0,0.693398654460907,0.0
14,749,0.6932876706123352,0.0,0.6930067539215088,1.0
15,799,0.6932227611541748,0.0,0.6930716037750244,1.0
16,849,0.6929305195808411,1.0,0.6933640241622925,0.0
17,899,0.6930569410324097,1.0,0.6932374238967896,0.0
18,949,0.6935333013534546,0.0,0.692761242389679,1.0
19,999,0.6927422285079956,1.0,0.6935524344444275,0.0
